Date : 2023-05-11 17:15:10
Directory : /Users/casey/Documents/appworks/everyday
Total : 79 files,  34795 codes, 509 comments, 1113 blanks, all 36417 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          5 |     21,601 |          9 |          4 |     21,614 |
| TypeScript JSX     |         63 |     12,972 |        495 |      1,064 |     14,531 |
| HTML               |          2 |         69 |          0 |          4 |         73 |
| CSS                |          2 |         62 |          0 |         13 |         75 |
| JSON with Comments |          1 |         26 |          0 |          1 |         27 |
| Markdown           |          1 |         26 |          0 |         21 |         47 |
| JavaScript         |          1 |         24 |          0 |          1 |         25 |
| TypeScript         |          3 |         14 |          5 |          5 |         24 |
| XML                |          1 |          1 |          0 |          0 |          1 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                           | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                              |         79 |     34,795 |        509 |      1,113 |     36,417 |
| . (Files)                                                                                      |          7 |     21,652 |          9 |         26 |     21,687 |
| public                                                                                         |          3 |         94 |          0 |          5 |         99 |
| src                                                                                            |         69 |     13,049 |        500 |      1,082 |     14,631 |
| src (Files)                                                                                    |         10 |        188 |          5 |         29 |        222 |
| src/Components                                                                                 |         17 |      1,774 |          0 |        164 |      1,938 |
| src/Components (Files)                                                                         |          3 |        588 |          0 |         57 |        645 |
| src/Components/Banner                                                                          |          1 |         35 |          0 |          5 |         40 |
| src/Components/Button                                                                          |          1 |        193 |          0 |         11 |        204 |
| src/Components/Card                                                                            |          1 |         53 |          0 |          6 |         59 |
| src/Components/Chat                                                                            |          1 |        101 |          0 |          8 |        109 |
| src/Components/Login                                                                           |          4 |        230 |          0 |         27 |        257 |
| src/Components/Nav                                                                             |          3 |        425 |          0 |         32 |        457 |
| src/Components/Navbar                                                                          |          1 |         40 |          0 |          6 |         46 |
| src/Components/Selectors                                                                       |          2 |        109 |          0 |         12 |        121 |
| src/config                                                                                     |          2 |        129 |          0 |         12 |        141 |
| src/config (Files)                                                                             |          1 |         18 |          0 |          1 |         19 |
| src/config/Context                                                                             |          1 |        111 |          0 |         11 |        122 |
| src/pages                                                                                      |         39 |     10,868 |        495 |        870 |     12,233 |
| src/pages/Family                                                                               |          4 |      1,105 |         28 |         63 |      1,196 |
| src/pages/Login                                                                                |          1 |        190 |          0 |         10 |        200 |
| src/pages/Main                                                                                 |         34 |      9,573 |        467 |        797 |     10,837 |
| src/pages/Main (Files)                                                                         |          2 |        829 |        465 |         55 |      1,349 |
| src/pages/Main/AI                                                                              |          3 |        822 |          0 |         62 |        884 |
| src/pages/Main/Album                                                                           |          3 |        985 |          0 |         60 |      1,045 |
| src/pages/Main/Calendar                                                                        |          3 |      1,942 |          0 |        156 |      2,098 |
| src/pages/Main/Chat                                                                            |          5 |        572 |          0 |         54 |        626 |
| src/pages/Main/Todo                                                                            |          3 |      1,248 |          0 |        101 |      1,349 |
| src/pages/Main/Whiteboard                                                                      |          2 |        627 |          0 |         52 |        679 |
| src/pages/Main/Widget                                                                          |         13 |      2,548 |          2 |        257 |      2,807 |
| src/pages/Main/Widget (Files)                                                                  |          7 |      1,688 |          0 |        148 |      1,836 |
| src/pages/Main/Widget/ChatWidget                                                               |          2 |        248 |          0 |         34 |        282 |
| src/pages/Main/Widget/GalleryWidget                                                            |          2 |        267 |          2 |         37 |        306 |
| src/pages/Main/Widget/TodoWidget                                                               |          2 |        345 |          0 |         38 |        383 |
| src/utils                                                                                      |          1 |         90 |          0 |          7 |         97 |
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                       | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/casey/Documents/appworks/everyday/.eslintrc.js                                          | JavaScript         |         24 |          0 |          1 |         25 |
| /Users/casey/Documents/appworks/everyday/README.md                                             | Markdown           |         26 |          0 |         21 |         47 |
| /Users/casey/Documents/appworks/everyday/firebase.json                                         | JSON               |          8 |          9 |          0 |         17 |
| /Users/casey/Documents/appworks/everyday/firestore.indexes.json                                | JSON               |          4 |          0 |          1 |          5 |
| /Users/casey/Documents/appworks/everyday/package-lock.json                                     | JSON               |     21,463 |          0 |          1 |     21,464 |
| /Users/casey/Documents/appworks/everyday/package.json                                          | JSON               |        101 |          0 |          1 |        102 |
| /Users/casey/Documents/appworks/everyday/public/404.html                                       | HTML               |         32 |          0 |          2 |         34 |
| /Users/casey/Documents/appworks/everyday/public/index.html                                     | HTML               |         37 |          0 |          2 |         39 |
| /Users/casey/Documents/appworks/everyday/public/manifest.json                                  | JSON               |         25 |          0 |          1 |         26 |
| /Users/casey/Documents/appworks/everyday/src/App.css                                           | CSS                |         33 |          0 |          6 |         39 |
| /Users/casey/Documents/appworks/everyday/src/App.test.tsx                                      | TypeScript JSX     |          8 |          0 |          2 |         10 |
| /Users/casey/Documents/appworks/everyday/src/App.tsx                                           | TypeScript JSX     |         27 |          0 |          4 |         31 |
| /Users/casey/Documents/appworks/everyday/src/Components/Banner/Banner.tsx                      | TypeScript JSX     |         35 |          0 |          5 |         40 |
| /Users/casey/Documents/appworks/everyday/src/Components/Button/Button.tsx                      | TypeScript JSX     |        193 |          0 |         11 |        204 |
| /Users/casey/Documents/appworks/everyday/src/Components/Card/Card.tsx                          | TypeScript JSX     |         53 |          0 |          6 |         59 |
| /Users/casey/Documents/appworks/everyday/src/Components/Chat/ChatToggle.tsx                    | TypeScript JSX     |        101 |          0 |          8 |        109 |
| /Users/casey/Documents/appworks/everyday/src/Components/Login/Auth.tsx                         | TypeScript JSX     |        121 |          0 |         15 |        136 |
| /Users/casey/Documents/appworks/everyday/src/Components/Login/LogOut.tsx                       | TypeScript JSX     |         29 |          0 |          4 |         33 |
| /Users/casey/Documents/appworks/everyday/src/Components/Login/SignIn.tsx                       | TypeScript JSX     |         40 |          0 |          4 |         44 |
| /Users/casey/Documents/appworks/everyday/src/Components/Login/SignInNav.tsx                    | TypeScript JSX     |         40 |          0 |          4 |         44 |
| /Users/casey/Documents/appworks/everyday/src/Components/Nav/Avatar.tsx                         | TypeScript JSX     |         22 |          0 |          3 |         25 |
| /Users/casey/Documents/appworks/everyday/src/Components/Nav/Navbar.tsx                         | TypeScript JSX     |        216 |          0 |         19 |        235 |
| /Users/casey/Documents/appworks/everyday/src/Components/Nav/SideNav.tsx                        | TypeScript JSX     |        187 |          0 |         10 |        197 |
| /Users/casey/Documents/appworks/everyday/src/Components/Navbar/Navbar.tsx                      | TypeScript JSX     |         40 |          0 |          6 |         46 |
| /Users/casey/Documents/appworks/everyday/src/Components/Selectors/CategorySelector.tsx         | TypeScript JSX     |         50 |          0 |          6 |         56 |
| /Users/casey/Documents/appworks/everyday/src/Components/Selectors/MemberSelector.tsx           | TypeScript JSX     |         59 |          0 |          6 |         65 |
| /Users/casey/Documents/appworks/everyday/src/Components/drawingtool.tsx                        | TypeScript JSX     |        341 |          0 |         28 |        369 |
| /Users/casey/Documents/appworks/everyday/src/Components/drawingtoolMini.tsx                    | TypeScript JSX     |        184 |          0 |         17 |        201 |
| /Users/casey/Documents/appworks/everyday/src/Components/loading.tsx                            | TypeScript JSX     |         63 |          0 |         12 |         75 |
| /Users/casey/Documents/appworks/everyday/src/config/Context/authContext.tsx                    | TypeScript JSX     |        111 |          0 |         11 |        122 |
| /Users/casey/Documents/appworks/everyday/src/config/firebase.config.tsx                        | TypeScript JSX     |         18 |          0 |          1 |         19 |
| /Users/casey/Documents/appworks/everyday/src/index.css                                         | CSS                |         29 |          0 |          7 |         36 |
| /Users/casey/Documents/appworks/everyday/src/index.tsx                                         | TypeScript JSX     |         42 |          0 |          2 |         44 |
| /Users/casey/Documents/appworks/everyday/src/logo.svg                                          | XML                |          1 |          0 |          0 |          1 |
| /Users/casey/Documents/appworks/everyday/src/pages/Family/FamilyForm.tsx                       | TypeScript JSX     |      1,067 |         28 |         50 |      1,145 |
| /Users/casey/Documents/appworks/everyday/src/pages/Family/FamilySetup.tsx                      | TypeScript JSX     |          5 |          0 |          3 |          8 |
| /Users/casey/Documents/appworks/everyday/src/pages/Family/LogOut.tsx                           | TypeScript JSX     |         15 |          0 |          5 |         20 |
| /Users/casey/Documents/appworks/everyday/src/pages/Family/SignIn.tsx                           | TypeScript JSX     |         18 |          0 |          5 |         23 |
| /Users/casey/Documents/appworks/everyday/src/pages/Login/Welcome.tsx                           | TypeScript JSX     |        190 |          0 |         10 |        200 |
| /Users/casey/Documents/appworks/everyday/src/pages/Main/AI/AI.tsx                              | TypeScript JSX     |         59 |          0 |          4 |         63 |
| /Users/casey/Documents/appworks/everyday/src/pages/Main/AI/SmartInput.tsx                      | TypeScript JSX     |        410 |          0 |         32 |        442 |
| /Users/casey/Documents/appworks/everyday/src/pages/Main/AI/Suggestion.tsx                      | TypeScript JSX     |        353 |          0 |         26 |        379 |
| /Users/casey/Documents/appworks/everyday/src/pages/Main/Album/Gallery.tsx                      | TypeScript JSX     |        546 |          0 |         31 |        577 |
| /Users/casey/Documents/appworks/everyday/src/pages/Main/Album/SlideShow.tsx                    | TypeScript JSX     |         99 |          0 |          9 |        108 |
| /Users/casey/Documents/appworks/everyday/src/pages/Main/Album/UpdatePhoto.tsx                  | TypeScript JSX     |        340 |          0 |         20 |        360 |
| /Users/casey/Documents/appworks/everyday/src/pages/Main/Calendar/Calendar.tsx                  | TypeScript JSX     |      1,516 |          0 |         85 |      1,601 |
| /Users/casey/Documents/appworks/everyday/src/pages/Main/Calendar/DailyHourView.tsx             | TypeScript JSX     |        218 |          0 |         33 |        251 |
| /Users/casey/Documents/appworks/everyday/src/pages/Main/Calendar/HourView.tsx                  | TypeScript JSX     |        208 |          0 |         38 |        246 |
| /Users/casey/Documents/appworks/everyday/src/pages/Main/Chat/Chat.tsx                          | TypeScript JSX     |        133 |          0 |         14 |        147 |
| /Users/casey/Documents/appworks/everyday/src/pages/Main/Chat/ChatApp.tsx                       | TypeScript JSX     |         38 |          0 |          4 |         42 |
| /Users/casey/Documents/appworks/everyday/src/pages/Main/Chat/Message.tsx                       | TypeScript JSX     |        142 |          0 |         16 |        158 |
| /Users/casey/Documents/appworks/everyday/src/pages/Main/Chat/SendMessage.tsx                   | TypeScript JSX     |        115 |          0 |          9 |        124 |
| /Users/casey/Documents/appworks/everyday/src/pages/Main/Chat/SendMessageMini.tsx               | TypeScript JSX     |        144 |          0 |         11 |        155 |
| /Users/casey/Documents/appworks/everyday/src/pages/Main/Dashboard.tsx                          | TypeScript JSX     |        382 |          0 |         25 |        407 |
